ID,Instruction,Input,Output,Category,Subcategory,IncorrectOutput
11,Construct a function that will find the value of a given key in a Python dictionary.,"dictionary = {'key1':1, 'key2':2, 'key3':3}
key = 'key2'","def find_value(dictionary, key):
    value = dictionary.get(key)
    return value

dictionary = {'key1':1, 'key2':2, 'key3':3}
key = 'key2'
value = find_value(dictionary, key)
print(value) # Output is 2",Data Structures,dictionary,"define find_value(dictionary, key):
    value = dictionary.get(key)
    return value

dictionary = {'key1':1, 'key2':2, 'key3':3}
key = 'key2'
value = find_value(dictionary, key)
print(value) # Output is 2"
12,Build a Python script to remove all punctuation from a given string.,"'This is a cool string!'","import string

input_str = 'This is a cool string!'
punctuation_removed = input_str.translate(str.maketrans('', '', string.punctuation))
print(punctuation_removed)",Data Structures,string,# No meaningful incorrect variant could be generated.
13,"Write a Python program to print “Hello, World!” five times.",,"for _ in range(5):
    print(""Hello, World!"")",Syntax,print,"for _ in range(5):
    printeger(""Hello, World!"")"
14,Construct a Python program that calculates the sum of all the items in a given list.,"[1, 4, 2, 5, 9]","def sumoflist(list): 
  sum = 0
  for i in range(0, len(list)): 
    sum = sum + list[i] 
  
  return sum

list1 = [1, 4, 2, 5, 9] 
print(sumoflist(list1))",Mathematics,calculate,"define sumoflist(list): 
  sum = 0
  for i in range(0, len(list)): 
    sum = sum + list[i] 
  
  return sum

list1 = [1, 4, 2, 5, 9] 
print(sumoflist(list1))"
15,Create a program in Python to convert an array of integers to an array of binary numbers.,"[2,4,7]","def int_to_bin(arr):
   binary = []
   for num in arr:
       binary.append(bin(num))
   return binary

arr = [2,4,7]
bin_arr = int_to_bin(arr)
print(bin_arr)",Scientific Computing,array,"def int_to_bin(arr):
   binary = []
   fr num in arr:
       binary.append(bin(num))
   return binary

arr = [2,4,7]
bin_arr = int_to_bin(arr)
print(bin_arr)"
16,Generate a function in Python to filter a given list and keep only the numeric items in the list.,"input_list = [4, 2, 1, 15.6, 'p', 'y', 5.8]","def filter_numeric(input_list): 
    
    num_list = [] 
  
    for item in input_list:
        if type(item) == int or type(item) == float: 
            num_list.append(item) 
   
    return num_list 
  
input_list = [4, 2, 1, 15.6, 'p', 'y', 5.8] 
print(filter_numeric(input_list)) 
#Output: [4, 2, 1, 15.6, 5.8]",Data Structures,list,"def filter_numeric(input_list) 
    
    num_list = [] 
  
    for item in input_list
        if type(item) == int or type(item) == float 
            num_list.append(item) 
   
    return num_list 
  
input_list = [4, 2, 1, 15.6, 'p', 'y', 5.8] 
print(filter_numeric(input_list)) 
#Output [4, 2, 1, 15.6, 5.8]"
17,Create a program in Python to generate 10 random integers.,"interval(0,100)","import random

for _ in range(10):
    print(random.randint(0,100))",Scientific Computing,random,"import random

for _ in range(10)
    print(random.randint(0,100))"
18,Write a Python program to calculate the cost of sending a message through a messaging service,"Message size: 172 bytes
Price per message: 0.0003 USD","""""""
Calculate the cost of sending a message through a messaging service
""""""

# Message size
size = 172 # bytes

# Price per message
price_per_message = 0.0003 # USD

# Calculate cost
cost = size * price_per_message

print(cost)",Mathematics,calculate,"""""""
Calculate the cost of sending a message through a messaging service
""""""

# Message size
size = 172 # bytes

# Price per message
price_per_message = 0.0003 # USD

# Calculate cost
cost = size / price_per_message

print(""The cost of sending a message is {:.3f} USD"".format(cost))"
19,Refactor a Python program to concatenate two strings without using the string.concat() function,"// Python program
str1 = ""Hello ""
str2 = ""World""

result = str1.concat(str2)
print(""Concatenated string: "", result)","str1 = ""Hello ""
str2 = ""World""
result = str1 + str2
print(result)",Data Structures,string,"str1 = ""Hello ""
str2 = ""World""
result = str1 + str2
print(""Concatenated string "", result)"
20,Create a program in Python to sort a given unsorted list.,"[5, 4, 1, 8, 9, 2]","def sortList(lst): 
    lst.sort() 
    return lst
  
ar_list = [5, 4, 1, 8, 9, 2]
result = sortList(ar_list) 
  
print(result)",Sorting,sort,"define sortList(lst): 
    lst.sort() 
    return lst
  
ar_list = [5, 4, 1, 8, 9, 2]
result = sortList(ar_list) 
  
print(result)"
21,Develop a Python script to print the first 10 squares of natural numbers.,,"for i in range(1, 11): 
  print(i**2)",Syntax,print,"for i in range(1, 11): 
  prit(i**2)"
22,Create a _JSON serializer_ for a given Python data structure.,"data = {
 'name': 'Alice',
 'age': 22,
 'hobbies': ['coding', 'guitar']
}","import json

data = {
 'name': 'Alice',
 'age': 22,
 'hobbies': ['coding', 'guitar']
}

json_data = json.dumps(data)

print(json_data)",Data Structures,data structure,"import json

data = {
 'name' 'Alice',
 'age' 22,
 'hobbies' ['coding', 'guitar']
}

json_data = json.dumps(data)

print(json_data)"
23,Create a function in Python that converts a Fahrenheit temperature to Celsius.,100 degrees,"def fahrenheit_to_celsius(fahrenheit):
    return (fahrenheit - 32) * 5 / 9

i = 100 
result = fahrenheit_to_celsius(i)
print(result)",Scientific Computing,temperature,"define convertFahrenheitToCelsius(fahrenheit)
    celsius = (fahrenheit - 32) * 5/9
    print(""{}°F is {}°C"".format(fahrenheit,celsius))

convertFahrenheitToCelsius(100)"
24,Generate a Python program to copy all elements of one list into another list.,"source = [0, 1, 2]","source = [0, 1, 2]
 
dest = []
 
for item in source:
    dest.append(item)
    
print(dest)",Data Structures,list,"source = (0, 1, 2]
 
dest = (]
 
for item in source:
    dest.append(item)
    
print(dest)"
25,Create a function in Python to find the longest string in a given list of strings,"[""Apple"", ""Banana"", ""Orange"", ""Mango"", ""Pineapple""]","def find_longest_string(arr):
    longest_string = ''
    for s in arr:
        if len(s) > len(longest_string):
            longest_string = s
    return longest_string

arr = ['Apple', 'Banana', 'Orange', 'Mango', 'Pineapple']
result = find_longest_string(arr)
print(result)",Data Structures,string,"define find_longest_string(arr)
    longest_string = ''
    for s in arr
        if len(s) > len(longest_string)
            longest_string = s
    return longest_string

arr = [""Apple"", ""Banana"", ""Orange"", ""Mango"", ""Pineapple""]
result = find_longest_string(arr)
print('Longest string is', result)"
26,Write a Python program to print the 3 most common elements of a given list.,"Input = [2, 5, 3, 7, 8, 5, 10, 19, 20]","from collections import Counter

Input = [2, 5, 3, 7, 8, 5, 10, 19, 20] 
  
Counter = Counter(Input) 
  
most_occur = Counter.most_common(3)

for i in most_occur: 
    print(i[0] i[1])",Syntax,print,"from collections import Counter

Input == [2, 5, 3, 7, 8, 5, 10, 19, 20] 
  
Counter == Counter(Input) 
  
most_occur == Counter.most_common(3)

for i in most_occur: 
    print(i[0], "":"", i[1])"
27,Generate a random set of numbers in Python with a size of 10 and range between 1 and 50.,,"import random

random_set = random.sample(range(1,51), 10)
print(random_set)",Scientific Computing,random,# No meaningful incorrect variant could be generated.
28,Generate a Python script that prints the sum of the numbers in the given range.,Start: 10 End: 19,"# Initialize one variable to store result
result = 0

# Use a loop to iterate through the given range
for num in range(10, 20):
    result += num

# Print the result
print(result)",Syntax,print,"# Initialize one variable to store result
result == 0

# Use a loop to iterate through the given range
for num in range(10, 20):
    result +== num

# Print the result
prit(result)"
29,"Design a Python program to read in a list of list of strings, eliminate duplicate entries, sort them and print out the result.","[['b', 'a', 'd'], ['c', 'a', 'd'], ['a', 'f', 'g']]","def removeduplicates(list_of_string):
    result = []
    for item in list_of_string:
        if item not in result:
            result.append(item)
    result.sort()
    return result

list_of_string = [['b', 'a', 'd'], ['c', 'a', 'd'], ['a', 'f', 'g']]
print(removeduplicates(list_of_string))",File Handling,read,"define removeduplicates(list_of_string):
    result = []
    for item in list_of_string:
        if item not in result:
            result.append(item)
    result.sort()
    retrn result

list_of_string = [['b', 'a', 'd'], ['c', 'a', 'd'], ['a', 'f', 'g']]
print(removeduplicates(list_of_string))"
30,Create a Python class that implements iterable protocol.,,"class IterableData:
    def __init__(self, data):
        self.data = data
    
    def __iter__(self):
        for item in self.data:
            yield item

# Usage
iterable = IterableData([1, 2, 3, 4])
for item in iterable:
    print(item)",Object-Oriented Programming,class,"class IterableData
    define __init__(self, data)
        self.data = data
    
    define __iter__(self)
        for item in self.data
            yield item

# Usage
iterable = IterableData([1, 2, 3, 4])
for item in iterable
    print(item)"
31,Design a Python algorithm to parse a list of strings and prints the longest string's length.,"listOfString= [""I"", ""am"", ""so"", ""happy""]","listStrings= ['I', 'am', 'so', 'happy']
longestStringLen = 0
for string in listStrings:
    if (len(string) > longestStringLen):
        longestStringLen = len(string)

print(longestStringLen)",Data Structures,list,"listStrings= (""I"", ""am"", ""so"", ""happy""]
longestStringLen = 0
for string in listStrings:
    if (len(string) > longestStringLen):
        longestStringLen = len(string)

print(longestStringLen)"
32,Write a Python program that takes in three numbers as input and determines which number is the maximum.,,"def max_number(a,b,c):
  max = a
  if b > max:
    max = b
  if c > max:
    max = c
  return max

print(max_number(1,5,3))",Mathematics,number,"def max_number(a,b,c)
  max = a
  if b > max
    max = b
  if c > max
    max = c
  return max

print(max_number(1,5,3))"
33,"In Python, use the re module to extract all numbers from a given string","String: Order #1234 was placed on 2023-03-25 and total cost is $89.99","import re

string = 'Order #1234 was placed on 2023-03-25 and total cost is $89.99'

numbers = re.findall(r'\d+\.?\d*', string)

print(numbers)",Data Structures,string,# No meaningful incorrect variant could be generated.
34,Generate a Python function that takes an array of elements and finds the frequency of each element,"[1,4,1,4,4,4,9,7]","def count_frequency(l):
    frequencies = {}
    for i in l:
        if i in frequencies:
            frequencies[i] += 1
        else:
            frequencies[i] = 1
    return frequencies

l = [1,4,1,4,4,4,9,7]
print(count_frequency(l))",Scientific Computing,array,"def count_frequency(l):
    frequencies = {}
    for i in l:
        if i in frequencies:
            frequencies[i] += 1
        else:
            frequencies[i] = 1
    retrn frequencies

l = [1,4,1,4,4,4,9,7]
print(count_frequency(l))"
35,Generate a random number between 1 and 10 in Python.,,"import random

randomNumber = random.randint(1, 10)
print(randomNumber)",Scientific Computing,random,# No meaningful incorrect variant could be generated.
36,Create a Python function that sorts a list of strings alphabetically,"[‘apple’,’orange’,’pear’]","def sort_strings(list_of_strings):
    sorted_list = sorted(list_of_strings, key=lambda str: str.lower())
    return sorted_list

result = sort_strings(['apple', 'orange', 'pear'])
print(result)",Sorting,sort,"def sort_strings(list_of_strings):
    srted_list = reversed(list_of_strings, key=lambda str: str.lower())
    return srted_list

result = sort_strings(['apple', 'orange', 'pear'])
print(result)"
37,Design a function in Python to determine if a given number is prime.,37,"def is_prime(n):
    if n <= 1: 
        return False
    if n == 2: 
        return True
    if n > 2 and n % 2 == 0: 
        return False

    sqrt_n = int(n**0.5)
    for i in range(3, sqrt_n+1, 2):
        if n % i == 0:
            return False
    return True

if is_prime(37):
    print('37 is a prime number!')",Branching,if,"define is_prime(n)
    if n <= 1 
        return False
    if n == 2 
        return True
    if n > 2 and n % 2 == 0 
        return False

    sqrt_n = int(n**0.5)
    for i in range(3, sqrt_n+1, 2)
        if n % i == 0
            return False
    return True

if is_prime(37)
    print('37 is a prime number!')"
38,Find the most efficient Python code to print all the divisors of an input number.,input = 28,"# Python Program to find the factors of a number

# define a function
def print_divisors(input):

    # find all factors of the input number
    for i in range(1, input + 1):
        if input % i == 0:
            print (i)

# take input from the user
input = 28

# print the divisors
print_divisors(input)",Syntax,print,"# Python Program to find the factors of a number

# define a function
def print_divisors(input)

    # find all factors of the input number
    for i in range(1, input + 1)
        if input % i == 0
            print (i)

# take input from the user
input = 28

# print the divisors
print_divisors(input)"
39,Create a Python function that takes a positive integer as input and returns a list of its prime factors.,The number 12.,"def prime_factors(number):
 prime_factors = []
 i = 2
 while number > 1:
  if number % i == 0:
   prime_factors.append(i)
   number //= i
  else:
   i += 1
 return prime_factors

print(prime_factors(12))
# [2, 2, 3]",Syntax,integer,"define prime_factors(number)
 prime_factors = []
 i = 2
 while number > 1
  if number % i == 0
   prime_factors.append(i)
   number //= i
  else
   i += 1
 return prime_factors

print(prime_factors(12))
# [2, 2, 3]"
40,"Given a Python list, create a new list of all items in the first list that are not in the second list.","first_list = [1, 2, 3, 4, 5]
second_list = [3, 4]","first_list = [1, 2, 3, 4, 5]
second_list = [3, 4]

new_list = []

for item in first_list:
    if item not in second_list:
        new_list.append(item)
        
print(new_list) # [1, 2, 5]",Data Structures,list,"first_list = (1, 2, 3, 4, 5]
second_list = (3, 4]

new_list = (]

for item in first_list:
    if item not in second_list:
        new_list.append(item)
        
print(new_list) # (1, 2, 5]"
41,"Given a list of numbers, write a Python program to calculate the median.","[3, 4, 5, 9, 12, 15]","def median(nums):
    nums.sort()
    n = len(nums)
    if n % 2 == 0:
        return (nums[n//2] + nums[(n//2) - 1]) / 2
    return nums[n//2]

nums = [3, 4, 5, 9, 12, 15]
print(median(nums))",Data Structures,list,"define median(nums):
    nums.sort()
    n = len(nums)
    if n % 2 == 0:
        retrn (nums[n//2] + nums[(n//2) - 1]) / 2
    retrn nums[n//2]

nums = [3, 4, 5, 9, 12, 15]
print(median(nums))"
42,Create a Python program that takes two strings as input and creates a new string with the characters in the second string that are not present in the first string.,"'jello','hello'","def difference(string1, string2):
  new_string = ''
  
  for char in string2:
    if char not in string1:
      new_string += char
      
  return new_string

string1 = 'jello'
string2 = 'hello'

print(difference(string1, string2)) # Output: 'e'",Data Structures,string,"define difference(string1, string2)
  new_string = ''
  
  for char in string2
    if char not in string1
      new_string += char
      
  return new_string

string1 = 'jello'
string2 = 'hello'

print(difference(string1, string2)) # Output 'e'"
43,Develop an algorithm in Python to generate a Fibonacci series up to the nth value.,n = 10,"# Program to generate a Fibonacci series using an algorithm

# function to generate Fibonacci series
def generate_fibonacci_series(n):
    a, b = 0, 1 
    result = [] 
    while b < n:
        result.append(b)
        a, b = b, a + b 
    return result

# Driver code 
n = 10
result = generate_fibonacci_series(n)
print(result)",Algorithms and Dynamic Programming,fibonacci,"# Program to generate a Fibonacci series using an algorithm

# function to generate Fibonacci series
def generate_fibonacci_series(n)
    a, b = 0, 1 
    result = [] 
    while b < n
        result.append(b)
        a, b = b, a + b 
    return result

# Driver code 
n = 10
result = generate_fibonacci_series(n)
print(""The Fibonacci number up to"", n, ""is"", result)"
44,Write a Python program for computing the sum of a given array of integers.,"[1, 2, 3, 4, 5]","def compute_sum(int_arry):
    sum = 0
    # loop through each element in the array
    for i in int_arry:
        sum += i
    return sum

# example testing code
int_arry = [1, 2, 3, 4, 5]
total_sum = compute_sum(int_arry)

print(""Sum of array elements is"", total_sum)",Mathematics,sum,"define compute_sum(int_arry):
    sum = 0
    # loop through each element in the array
    for i in int_arry:
        sum += i
    return sum

# example testing code
int_arry = [1, 2, 3, 4, 5]
total_sum = compute_sum(int_arry)

print(""Sum of array elements is"", total_sum)"
45,Write an efficient algorithm in Python to find the minumum number of iterations to reach a certain number.,Start with number 5 and the end goal is number 10,"def min_num_iterations(start, end):
    num_iterations = 0

    while start < end:
        start += 1
        num_iterations += 1

    return num_iterations

print(min_num_iterations(5, 10)) # Output: 5",Mathematics,number,"def min_num_iterations(start, end):
    num_iterations = 0

    while start < end:
        start += 1
        num_iterations += 1

    retrn num_iterations

print(min_num_iterations(5, 10)) # Output: 5"
46,"Write a Python script to generate a random integer in the interval [0, 10).",,"import random

x = random.randint(0, 10)
print(x)",Scientific Computing,random,# No meaningful incorrect variant could be generated.
47,Edit this python code to make the output print in descending order (from highest to lowest).,"my_list = [10,2,5,1,20]

for x in my_list:
    print(x)","my_list = [10,2,5,1,20]
    
for x in sorted(my_list, reverse=True):
    print(x)",Syntax,print,"my_list = [10,2,5,1,20]
    
for x in sorted(my_list, reverse=true):
    print(x)"
48,Write a python script that takes a list of numbers from 1 to 8  and prints its cubic values.,"[1, 2, 3, 4, 5, 6, 7, 8]","list_numbers = [1, 2, 3, 4, 5, 6, 7, 8]

for num in list_numbers:
    print(num**3)",Data Structures,list,"list_numbers = [1, 2, 3, 4, 5, 6, 7, 8]

for num in list_numbers:
    print(num*3)"
49,Generate a Python program using a list comprehension that takes a 2D list of integers and computes the sum of integers at each row.,"[[1, 2, 3], [4, 5, 6], [7, 8, 9]]","total_row_sum = [sum(row) for row in [[1, 2, 3], [4, 5, 6], [7, 8, 9]]]

print(total_row_sum)",Data Structures,list,"total_row_sum = (sum(row) for row in ((1, 2, 3], (4, 5, 6], (7, 8, 9]]]

print(total_row_sum)"
50,Create a python program to reverse an integer.,x = 123,"def reverse_int(x):
    """"""Reverse an integer.""""""
    reversed_int = int(str(x)[::-1])
    return reversed_int

# Usage Example
x = 123
reversed_int = reverse_int(x)
print(reversed_int)  # 321",Syntax,integer,"define reverse_int(x):
    """"""Reverse an integer.""""""
    reversed_int = int(str(x)[::-1])
    retrn reversed_int

# Usage Example
x = 123
reversed_int = reverse_int(x)
print(reversed_int)  # 321"
51,Develop a function in Python to convert a given number of days into seconds.,,"def days_to_seconds(days):
    return days * 86400

result = days_to_seconds(3)
print(result) # Outputs: 259200",Mathematics,number,"def days_to_seconds(days):
    retrn days / 86400

result = days_to_seconds(3)
print(result) # Outputs: 259200"
52,Develop an algorithm in Python to print an array in reverse order.,"[1, 2, 3, 4, 5]","def reverse_array(arr):
    return arr[::-1]

arr = [1, 2, 3, 4, 5]
print(reverse_array(arr))",Syntax,print,"def reverse_array(arr)
    retrn arr[-1]

arr = [1, 2, 3, 4, 5]
print(reverse_array(arr))"
53,Design a Python program for verifying the two strings are rotations of each other?,"s1 = ""Hello World""
s2 = ""World Hello""","def check_rotation(str1, str2): 
	if len(str1) != len(str2): 
		return False
	temp = str1 + str1
	return (str2 in temp) 

s1 = ""Hello World""
s2 = ""World Hello""
if check_rotation(s1, s2): 
	print('These strings are rotations of each other'); 
else: 
	print('These strings are not rotations of each other')",Data Structures,string,"def check_rotation(str1, str2) 
	if len(str1) != len(str2) 
		retrn False
	temp = str1 + str1
	retrn (str2 in temp) 

s1 = ""Hello World""
s2 = ""World Hello""
if check_rotation(s1, s2) 
	print('These strings are rotations of each other'); 
else 
	print('These strings are not rotations of each other')"
54,Create a program in Python that takes a list of strings and returns a new list with each string reversed.,"[""Hello"", ""World""]","def reverse_list(strings):
    return [s[::-1] for s in strings]

strings = [""Hello"", ""World""]
print(reverse_list(strings))",Data Structures,list,"def reverse_lst(strings):
    return [s[::-1] for s in strings]

strings = [""Hello"", ""World""]
print(reverse_lst(strings))"
55,"Using the input provided, add a try/except block to the given Python code.","for n in file_name[:20]:
    print(n)","try:
    for n in file_name[:20]:
        print(n)
except Exception as e:
    print(e)",Testing and Debugging,try/except,"try
    for n in file_name[20]
        print(n)
except Exception as e
    print(e)"
56,Write a Python program to remove a specified item from an array.,"arr = [1,2,3,4]","def remove_item(arr, item):
    return [i for i in arr if i != item]

arr = [1,2,3,4]
new_arr = remove_item(arr, 3)
print(new_arr)",Scientific Computing,array,"def remove_item(arr, item):
    return [i fr i in arr if i != item]

arr = [1,2,3,4]
new_arr = remove_item(arr, 3)
print(new_arr)"
57,Hack a Python program to apply a filter to a list of numbers and output the numbers greater than 5.,"List of numbers: [1, 5, 6, 3, 8]","numbers = [1, 5, 6, 3, 8]

filtered_numbers = []

for number in numbers:
  if number > 5:
    filtered_numbers.append(number)

print(filtered_numbers) # output: [6, 8]",Data Structures,list,"numbers = [1, 5, 6, 3, 8]

filtered_numbers = []

for number in numbers
  if number > 5
    filtered_numbers.append(number)

print(filtered_numbers) # output [6, 8]"
58,Rewrite the code in Python so that it prints the length of a given string.,"string = ""Hello World""","string = ""Hello World""
print(len(string)) # prints 11",Syntax,print,"string == ""Hello World""
print(len(string)) # prints 11"
59,Create a Python script that converts temperatures from Celsius to Fahrenheit.,23,"def celsius_to_fahrenheit(celsius):
    return ((celsius * 9/5 ) + 32)

temperature = 23
fahrenheit = celsius_to_fahrenheit(temperature)
print(fahrenheit)",Scientific Computing,temperature,"define celsius_to_fahrenheit(celsius):
    retrn ((celsius * 9/5 ) + 32)

temperature = 23
fahrenheit = celsius_to_fahrenheit(temperature)
print('The temperature in Fahrenheit is: ' + str(fahrenheit))"
60,Create a Python program that updates the dictionary with the new key-value pair.,"dictionary = {'apple': 1, 'banana': 2, 'orange': 3}
key = 'mango'
value = 4","dictionary = {'apple': 1, 'banana': 2, 'orange': 3}
key = 'mango'
value = 4

dictionary[key] = value
print(dictionary)
# {'apple': 1, 'banana': 2, 'orange': 3, 'mango': 4}",Data Structures,dictionary,"dictionary = ['apple': 1, 'banana': 2, 'orange': 3}
key = 'mango'
value = 4

dictionary[key] = value
print(dictionary)
# ['apple': 1, 'banana': 2, 'orange': 3, 'mango': 4}"
61,Create a loop in Python that prints out a list of numbers from 1 to 10 multiplied by 3.,,"for i in range(1, 11):
    print(i * 3)",Loops,loop,"for i in rang(1, 11)
    print(i * 3)"
62,Construct an algorithm in Python to identify whether a number is odd or even.,x = 7,"def findNumberType(x):
    if x % 2 == 0:
        return ""Even""
    else:
        return ""Odd""

x = 7
print(findNumberType(x))  # Odd",Mathematics,number,"def findNumberType(x):
    if x % 2 == 0:
        retrn ""Even""
    else:
        retrn ""Odd""

x = 7
print(findNumberType(x))  # Odd"
63,"Modify the given code in Python so that it prints the given sentence ""Hello, World!""","print(""Greetings"")","print(""Hello, World!"")",Syntax,print,"prit(""Hello, World!"")"
64,Design an algorithm in Python for displaying the reverse of a string input.,"Input String: ""Hello World!""","# Create a function 
def reverse_string(str): 
    # Create an empty string  
    rev_str = """" 

    # Iterate over the string in reverse 
    for i in str: 
        rev_str = i + rev_str
    
    # Return the reversed string 
    return rev_str

# Driver Code
str = ""Hello World!""
print(reverse_string(str))",Data Structures,string,"# Create a function 
define reverse_string(str) 
    # Create an empty string  
    rev_str = """" 

    # Iterate over the string in reverse 
    for i in str 
        rev_str = i + rev_str
    
    # Return the reversed string 
    return rev_str

# Driver Code
str = ""Hello World!""
print(""The reversed string is"", reverse_string(str))"
65,Suggest a change to the following loop to make it more Pythonic.,"numbers = [1, 2, 3, 4, 5]
for i in range(len(numbers)):
    print(numbers[i])","numbers = [1, 2, 3, 4, 5]

for number in numbers:
    print(number)",Loops,loop,"numbers = [1, 2, 3, 4, 5]

fr number in numbers:
    print(number)"
66,Construct a class in Python which implements two methods to add two numbers.,,"class Calculator:
 def __init__(self):
   pass
    
 def add_two_numbers(self, a, b):
   return a + b

 def add(self, a, b, c):
   return a + b + c

calculator = Calculator()
result = calculator.add_two_numbers(1, 2)
print(result)",Object-Oriented Programming,class,"class Calculator
 define __init__(self)
   pass
    
 define add_two_numbers(self, a, b)
   return a + b

 define add(self, a, b, c)
   return a + b + c

calculator = Calculator()
result = calculator.add_two_numbers(1, 2)
print(result)"
